NO_OF_FRAMES	5618
NO_OF_CAMERAS	13
NO_OF_MARKERS	6
FREQUENCY	120
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-10-10, 15:47:17.423	14041227.18119250
DATA_INCLUDED	3D
MARKER_NAMES	hand	R wrist	L wrist	R elbow	L elbow	
TRAJECTORY_TYPES	Mixed	Measured	Measured	Mixed	Measured	Mixed
hand X	hand Y	hand Z	R wrist X	R wrist Y	R wrist Z	L wrist X	L wrist Y	L wrist Z	R elbow X	R elbow Y	R elbow Z	L elbow X	L elbow Y	L elbow Z	 X	 Y	 Z	
251.250	194.681	62.843	0.000	0.000	0.000	0.000	0.000	0.000	-14.449	-33.903	17.962	-17.354	-32.320	97.277	173.145	-225.052	-10.670
251.245	194.692	62.862	0.000	0.000	0.000	0.000	0.000	0.000	-14.420	-33.942	18.017	-17.349	-32.331	97.320	173.139	-225.043	-10.672
251.248	194.708	62.903	0.000	0.000	0.000	0.000	0.000	0.000	-14.389	-33.979	18.083	-17.330	-32.354	97.389	173.157	-225.051	-10.667
251.234	194.721	62.941	0.000	0.000	0.000	0.000	0.000	0.000	-14.340	-34.014	18.170	-17.299	-32.367	97.476	173.151	-225.042	-10.669
251.240	194.737	62.974	0.000	0.000	0.000	0.000	0.000	0.000	-14.283	-34.056	18.289	-17.255	-32.394	97.596	173.147	-225.042	-10.679
251.244	194.752	63.025	0.000	0.000	0.000	0.000	0.000	0.000	-14.212	-34.104	18.422	-17.207	-32.422	97.725	173.147	-225.042	-10.679
251.249	194.778	63.066	0.000	0.000	0.000	0.000	0.000	0.000	-14.124	-34.159	18.565	-17.155	-32.447	97.871	173.157	-225.051	-10.667
251.242	194.796	63.134	0.000	0.000	0.000	0.000	0.000	0.000	-14.033	-34.245	18.715	-17.094	-32.445	98.018	173.153	-225.042	-10.679
251.257	194.824	63.217	0.000	0.000	0.000	0.000	0.000	0.000	-13.927	-34.303	18.870	-17.029	-32.469	98.181	173.147	-225.052	-10.680
251.252	194.850	63.304	224.007	123.452	42.899	0.000	0.000	0.000	-13.825	-34.365	19.055	-16.976	-32.506	98.361	173.159	-225.051	-10.677
251.227	194.862	63.403	224.016	123.452	43.101	0.000	0.000	0.000	-13.735	-34.438	19.241	-16.914	-32.561	98.563	173.153	-225.042	-10.679
251.182	194.882	63.518	224.022	123.458	43.202	0.000	0.000	0.000	-13.644	-34.543	19.425	-16.860	-32.609	98.732	173.159	-225.043	-10.678
251.142	194.898	63.640	224.121	123.523	43.031	0.000	0.000	0.000	-13.557	-34.590	19.634	-16.786	-32.685	98.932	173.149	-225.042	-10.689
251.094	194.917	63.771	224.085	123.549	43.253	189.128	168.550	48.348	-13.446	-34.645	19.828	-16.707	-32.780	99.113	173.159	-225.043	-10.678
251.048	194.915	63.896	224.080	123.531	43.477	189.099	168.520	48.482	-13.342	-34.743	20.017	-16.617	-32.886	99.307	173.155	-225.043	-10.689
251.000	194.913	64.019	224.075	123.525	43.650	189.069	168.497	48.599	-13.213	-34.872	20.233	-16.537	-32.996	99.493	173.155	-225.042	-10.689
250.986	194.807	64.446	224.102	123.513	43.779	188.999	168.415	48.904	-13.073	-34.980	20.478	-16.477	-33.099	99.714	173.161	-225.052	-10.686
250.920	194.793	64.553	224.103	123.519	43.961	188.963	168.386	49.041	-12.919	-35.132	20.732	-16.414	-33.223	99.974	173.155	-225.043	-10.689
250.883	194.779	64.678	224.130	123.490	44.126	188.922	168.357	49.225	-12.766	-35.236	21.075	-16.330	-33.331	100.263	173.163	-225.043	-10.697
250.852	194.771	64.809	224.132	123.490	44.296	188.899	168.340	49.398	-12.606	-35.374	21.373	-16.223	-33.463	100.564	173.168	-225.044	-10.687
250.792	194.761	64.968	224.134	123.474	44.550	188.869	168.322	49.598	-12.453	-35.503	21.747	-16.122	-33.605	100.892	173.164	-225.044	-10.698
250.735	194.740	65.125	224.127	123.460	44.766	188.823	168.267	49.842	-12.308	-35.631	22.154	-16.029	-33.747	101.247	173.170	-225.046	-10.699
250.698	194.719	65.307	224.135	123.431	45.024	188.786	168.257	50.106	-12.178	-35.726	22.553	-15.935	-33.923	101.642	173.162	-225.048	-10.692
250.628	194.708	65.527	224.092	123.386	45.340	188.728	168.189	50.425	-12.062	-35.853	23.009	-15.832	-34.093	102.055	173.174	-225.048	-10.689
250.545	194.683	65.736	224.050	123.350	45.629	188.675	168.158	50.757	-11.971	-35.864	23.460	-15.716	-34.320	102.478	173.170	-225.048	-10.700
250.449	194.682	65.984	223.984	123.303	46.031	188.587	168.106	51.157	-11.863	-35.959	23.934	-15.600	-34.577	102.921	173.170	-225.048	-10.701
250.305	194.678	66.260	223.856	123.260	46.455	188.499	168.062	51.559	-11.763	-36.065	24.455	-15.495	-34.862	103.382	173.179	-225.048	-10.709
250.166	194.701	66.537	223.677	123.194	46.963	188.413	167.981	52.043	-11.654	-36.217	24.919	-15.391	-35.207	103.819	173.190	-225.052	-10.701
249.995	194.727	66.837	223.451	123.107	47.555	188.318	167.908	52.617	-11.576	-36.422	25.374	-15.307	-35.587	104.223	173.185	-225.053	-10.712
249.820	194.744	67.156	223.214	123.031	48.124	188.144	167.802	53.228	-11.501	-36.633	25.795	-15.220	-36.009	104.585	173.186	-225.054	-10.713
249.622	194.768	67.503	223.004	122.925	48.750	187.952	167.664	53.909	-11.405	-36.852	26.201	-15.151	-36.435	104.913	173.199	-225.047	-10.713
249.438	194.748	67.911	222.793	122.780	49.463	187.781	167.546	54.635	-11.315	-37.161	26.548	-15.133	-36.904	105.175	173.195	-225.047	-10.724
249.227	194.749	68.342	222.534	122.657	50.160	187.613	167.429	55.411	-11.221	-37.548	26.894	-15.139	-37.364	105.454	173.190	-225.046	-10.734
249.027	194.734	68.784	222.293	122.498	50.924	187.442	167.284	56.194	-11.141	-37.914	27.171	-15.137	-37.828	105.726	173.207	-225.047	-10.721
248.802	194.692	69.241	222.079	122.312	51.713	187.226	167.094	56.957	-11.062	-38.247	27.476	-15.148	-38.289	105.981	173.203	-225.046	-10.731
248.545	194.632	69.692	221.806	122.113	52.501	186.995	166.868	57.667	-11.016	-38.700	27.797	-15.173	-38.774	106.267	173.197	-225.037	-10.734
248.302	194.512	70.133	221.540	121.914	53.273	186.785	166.695	58.324	-10.973	-39.115	28.080	-15.215	-39.227	106.531	173.197	-225.037	-10.734
246.972	194.931	70.225	221.270	121.691	54.007	186.466	166.477	58.957	-10.978	-39.465	28.422	-15.273	-39.731	106.809	173.209	-225.048	-10.732
246.623	194.801	70.652	220.988	121.444	54.697	186.196	166.220	59.543	-10.990	-39.804	28.679	-15.320	-40.214	107.068	173.199	-225.038	-10.745
